C,Max Iterations,Test Accuracy
0.001,50,0.23448275862068965
0.001,100,0.23448275862068965
0.001,150,0.23448275862068965
0.001,200,0.23448275862068965
0.001,250,0.23448275862068965
0.001,300,0.23448275862068965
0.001,350,0.23448275862068965
0.001,400,0.23448275862068965
0.001,450,0.23448275862068965
0.0035938136638046254,50,0.296551724137931
0.0035938136638046254,100,0.296551724137931
0.0035938136638046254,150,0.296551724137931
0.0035938136638046254,200,0.296551724137931
0.0035938136638046254,250,0.296551724137931
0.0035938136638046254,300,0.296551724137931
0.0035938136638046254,350,0.296551724137931
0.0035938136638046254,400,0.296551724137931
0.0035938136638046254,450,0.296551724137931
0.01291549665014884,50,0.2896551724137931
0.01291549665014884,100,0.2896551724137931
0.01291549665014884,150,0.2896551724137931
0.01291549665014884,200,0.2896551724137931
0.01291549665014884,250,0.2896551724137931
0.01291549665014884,300,0.2896551724137931
0.01291549665014884,350,0.2896551724137931
0.01291549665014884,400,0.2896551724137931
0.01291549665014884,450,0.2896551724137931
0.046415888336127795,50,0.3586206896551724
0.046415888336127795,100,0.3586206896551724
0.046415888336127795,150,0.3586206896551724
0.046415888336127795,200,0.3586206896551724
0.046415888336127795,250,0.3586206896551724
0.046415888336127795,300,0.3586206896551724
0.046415888336127795,350,0.3586206896551724
0.046415888336127795,400,0.3586206896551724
0.046415888336127795,450,0.3586206896551724
0.1668100537200059,50,0.35172413793103446
0.1668100537200059,100,0.35172413793103446
0.1668100537200059,150,0.35172413793103446
0.1668100537200059,200,0.35172413793103446
0.1668100537200059,250,0.35172413793103446
0.1668100537200059,300,0.35172413793103446
0.1668100537200059,350,0.35172413793103446
0.1668100537200059,400,0.35172413793103446
0.1668100537200059,450,0.35172413793103446
0.5994842503189408,50,0.35172413793103446
0.5994842503189408,100,0.35172413793103446
0.5994842503189408,150,0.35172413793103446
0.5994842503189408,200,0.35172413793103446
0.5994842503189408,250,0.35172413793103446
0.5994842503189408,300,0.35172413793103446
0.5994842503189408,350,0.35172413793103446
0.5994842503189408,400,0.35172413793103446
0.5994842503189408,450,0.35172413793103446
2.1544346900318843,50,0.35172413793103446
2.1544346900318843,100,0.35172413793103446
2.1544346900318843,150,0.35172413793103446
2.1544346900318843,200,0.35172413793103446
2.1544346900318843,250,0.35172413793103446
2.1544346900318843,300,0.35172413793103446
2.1544346900318843,350,0.35172413793103446
2.1544346900318843,400,0.35172413793103446
2.1544346900318843,450,0.35172413793103446
7.742636826811278,50,0.35172413793103446
7.742636826811278,100,0.35172413793103446
7.742636826811278,150,0.35172413793103446
7.742636826811278,200,0.35172413793103446
7.742636826811278,250,0.35172413793103446
7.742636826811278,300,0.35172413793103446
7.742636826811278,350,0.35172413793103446
7.742636826811278,400,0.35172413793103446
7.742636826811278,450,0.35172413793103446
27.825594022071257,50,0.35172413793103446
27.825594022071257,100,0.35172413793103446
27.825594022071257,150,0.35172413793103446
27.825594022071257,200,0.35172413793103446
27.825594022071257,250,0.35172413793103446
27.825594022071257,300,0.35172413793103446
27.825594022071257,350,0.35172413793103446
27.825594022071257,400,0.35172413793103446
27.825594022071257,450,0.35172413793103446
100.0,50,0.35172413793103446
100.0,100,0.35172413793103446
100.0,150,0.35172413793103446
100.0,200,0.35172413793103446
100.0,250,0.35172413793103446
100.0,300,0.35172413793103446
100.0,350,0.35172413793103446
100.0,400,0.35172413793103446
100.0,450,0.35172413793103446
